,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
12,0.0011968374252319335,0.0003990055190120957,0.0012964487075805664,0.0004567417028270738,kd_tree,3,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.8004668291302137,0.8342217306600934,0.7227085573993208,0.8000124424179887,0.8395963772395131,0.7712530810760982,0.8532574478404864,0.7083374134270487,0.7436598527414258,0.8144763245525495,0.7887990056484738,0.04786137212804617,32
13,0.0014958143234252929,0.000498652528867231,0.0010972023010253906,0.00029921539276243664,kd_tree,3,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7919566643638496,0.83940833274102,0.7289042292455599,0.7803149210124046,0.8446354896536847,0.7752642505523346,0.8544656918059435,0.7259960656296769,0.7365710971295251,0.8017899922036648,0.7879306734337664,0.04547179825877229,35
14,0.0015954971313476562,0.000488665304448858,0.0010972976684570312,0.0002991835930713471,kd_tree,3,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8107098301389951,0.839068804227138,0.7364389510119982,0.8030508957923401,0.8564496378681961,0.7847415493779055,0.8682436092893189,0.7392227044976112,0.7535398057215198,0.8138609560231076,0.800532674394813,0.0445069398648688,26
15,0.0018949508666992188,0.00029921537376494453,0.0010970354080200196,0.00029919153191157596,kd_tree,3,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.801384229793515,0.8448223858934415,0.7283947857267666,0.7862220211893965,0.8626926323798751,0.7880789019916729,0.8687143529475816,0.7482522683106658,0.743057316927985,0.8055401442269439,0.7977159039387844,0.04692660434581652,29
16,0.0014945030212402343,0.0004971108698922956,0.001497507095336914,0.0005000197975396573,kd_tree,5,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8128746973472342,0.8275284626307609,0.7716589540005365,0.8283212454469522,0.8374318995424102,0.7578870602313581,0.8573703695749573,0.7303890693767684,0.7702833111998154,0.8362216436653445,0.8029966713016139,0.03993226559999223,24
17,0.0015984535217285155,0.0004917715402420987,0.0012934207916259766,0.00045934009561010965,kd_tree,5,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8046572125936736,0.8398074330674938,0.7586858460795086,0.8120984639634314,0.8465395117073724,0.7783585456971175,0.864737603538655,0.7376200229129689,0.7639036154198863,0.8267015718629596,0.8033109826843067,0.04010280277607497,21
18,0.0015926599502563477,0.0004871397609490612,0.0012959957122802735,0.000456004398030667,kd_tree,5,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8126108477175997,0.8303192848441041,0.7737988853222019,0.8334491908657833,0.854656028038111,0.7896628691086814,0.8610594169080765,0.763884499384262,0.7687757534258661,0.8317449370449674,0.8119961712659653,0.03399113428393259,7
19,0.0015020370483398438,0.0005009096159544939,0.001097249984741211,0.00030036391972800865,kd_tree,5,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8103532060929014,0.8378850016890332,0.7563027974348182,0.8197440231601381,0.8635116576245201,0.7984618705682058,0.8687290018026999,0.7648363868088013,0.763657166450159,0.825205875451405,0.810868698708268,0.03822674150560285,10
20,0.0015002727508544923,0.0005030027032243703,0.0013916492462158203,0.00048554464312130455,kd_tree,7,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8184714067369889,0.8250047767487015,0.7989510002215241,0.8447280399125332,0.847228654577864,0.7609889982851215,0.852391750915517,0.7511621170488791,0.7773179895505906,0.8205135227649404,0.8096758256762661,0.03442329199002102,18
21,0.0014959096908569336,0.0004986048155168827,0.0014958858489990234,0.0004984382464076266,kd_tree,7,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8111940282003398,0.8370129551691552,0.7783137200761454,0.8289527649700271,0.8571265890661952,0.7794303557929584,0.8674773724004773,0.753409167396606,0.7726583353896639,0.8205236143434905,0.810609890280506,0.03641067016093276,15
